id,time,value
che.lrhutttt.st,1999-04-01,3.144907
che.lrhutttt.st,2000-04-01,2.664994
che.lrhutttt.st,2001-04-01,2.490901
che.lrhutttt.st,2002-04-01,2.92339
che.lrhutttt.st,2003-04-01,4.115555
che.lrhutttt.st,2004-04-01,4.316408
che.lrhutttt.st,2005-04-01,4.436162
che.lrhutttt.st,2006-04-01,3.99981
che.lrhutttt.st,2007-04-01,3.650983
che.lrhutttt.st,2008-04-01,3.350551
che.lrhutttt.st,2009-04-01,4.115744
che.lrhutttt.st,2010-01-01,5.394644
che.lrhutttt.st,2010-04-01,4.633616
che.lrhutttt.st,2010-07-01,4.919581
che.lrhutttt.st,2010-10-01,4.266088
che.lrhutttt.st,2011-01-01,4.679869
che.lrhutttt.st,2011-04-01,3.915036
che.lrhutttt.st,2011-07-01,4.60484
che.lrhutttt.st,2011-10-01,4.405869
che.lrhutttt.st,2012-01-01,4.539017
che.lrhutttt.st,2012-04-01,4.064735
che.lrhutttt.st,2012-07-01,4.6502
che.lrhutttt.st,2012-10-01,4.681807
che.lrhutttt.st,2013-01-01,5.136643
che.lrhutttt.st,2013-04-01,4.524463
che.lrhutttt.st,2013-07-01,4.887658
che.lrhutttt.st,2013-10-01,4.437991
che.lrhutttt.st,2014-01-01,5.316216
che.lrhutttt.st,2014-04-01,4.661153
che.lrhutttt.st,2014-07-01,5.051579
che.lrhutttt.st,2014-10-01,4.288266
che.lrhutttt.st,2015-01-01,4.725189
che.lrhutttt.st,2015-04-01,4.439193
che.lrhutttt.st,2015-07-01,5.157581
che.lrhutttt.st,2015-10-01,4.878757
che.lrhutttt.st,2016-01-01,5.339957
che.lrhutttt.st,2016-04-01,4.62711
che.lrhutttt.st,2016-07-01,5.107788
che.lrhutttt.st,2016-10-01,4.599988
che.lrhutttt.st,2017-01-01,5.268037
che.lrhutttt.st,2017-04-01,4.394223
che.lrhutttt.st,2017-07-01,4.983716
che.lrhutttt.st,2017-10-01,4.542481
che.lrhutttt.st,2018-01-01,5.226003
che.lrhutttt.st,2018-04-01,4.618306
che.lrhutttt.st,2018-07-01,4.416738
che.lrhutttt.st,2018-10-01,4.59586
che.lrhutttt.st,2019-01-01,4.935609
che.lrhutttt.st,2019-04-01,4.167597
che.lrhutttt.st,2019-07-01,4.572172
che.lrhutttt.st,2019-10-01,3.902429
che.lrhutttt.st,2020-01-01,4.494063
che.lrhutttt.st,2020-04-01,4.58221
che.lrhutttt.st,2020-07-01,5.25092
che.lrhutttt.stsa,1999-04-01,3.144907
che.lrhutttt.stsa,2000-04-01,2.664994
che.lrhutttt.stsa,2001-04-01,2.490901
che.lrhutttt.stsa,2002-04-01,2.92339
che.lrhutttt.stsa,2003-04-01,4.115555
che.lrhutttt.stsa,2004-04-01,4.316408
che.lrhutttt.stsa,2005-04-01,4.436162
che.lrhutttt.stsa,2006-04-01,3.99981
che.lrhutttt.stsa,2007-04-01,3.650983
che.lrhutttt.stsa,2008-04-01,3.350551
che.lrhutttt.stsa,2009-04-01,4.115744
che.lrhutttt.stsa,2010-01-01,5.048479
che.lrhutttt.stsa,2010-04-01,4.965505
che.lrhutttt.stsa,2010-07-01,4.753548
che.lrhutttt.stsa,2010-10-01,4.445741
che.lrhutttt.stsa,2011-01-01,4.38906
che.lrhutttt.stsa,2011-04-01,4.186604
che.lrhutttt.stsa,2011-07-01,4.441024
che.lrhutttt.stsa,2011-10-01,4.592121
che.lrhutttt.stsa,2012-01-01,4.237129
che.lrhutttt.stsa,2012-04-01,4.333297
che.lrhutttt.stsa,2012-07-01,4.485708
che.lrhutttt.stsa,2012-10-01,4.879773
che.lrhutttt.stsa,2013-01-01,4.799544
che.lrhutttt.stsa,2013-04-01,4.832315
che.lrhutttt.stsa,2013-07-01,4.713122
che.lrhutttt.stsa,2013-10-01,4.643945
che.lrhutttt.stsa,2014-01-01,4.973519
che.lrhutttt.stsa,2014-04-01,4.986688
che.lrhutttt.stsa,2014-07-01,4.865903
che.lrhutttt.stsa,2014-10-01,4.484663
che.lrhutttt.stsa,2015-01-01,4.411283
che.lrhutttt.stsa,2015-04-01,4.737683
che.lrhutttt.stsa,2015-07-01,4.95905
che.lrhutttt.stsa,2015-10-01,5.091456
che.lrhutttt.stsa,2016-01-01,4.984502
che.lrhutttt.stsa,2016-04-01,4.944361
che.lrhutttt.stsa,2016-07-01,4.93043
che.lrhutttt.stsa,2016-10-01,4.812841
che.lrhutttt.stsa,2017-01-01,4.920667
che.lrhutttt.stsa,2017-04-01,4.706756
che.lrhutttt.stsa,2017-07-01,4.813203
che.lrhutttt.stsa,2017-10-01,4.747001
che.lrhutttt.stsa,2018-01-01,4.879198
che.lrhutttt.stsa,2018-04-01,4.931911
che.lrhutttt.stsa,2018-07-01,4.248853
che.lrhutttt.stsa,2018-10-01,4.79204
che.lrhutttt.stsa,2019-01-01,4.63352
che.lrhutttt.stsa,2019-04-01,4.467111
che.lrhutttt.stsa,2019-07-01,4.399855
che.lrhutttt.stsa,2019-10-01,4.078005
che.lrhutttt.stsa,2020-01-01,4.22411
che.lrhutttt.stsa,2020-04-01,4.915972
che.lrhutttt.stsa,2020-07-01,5.049104
